team,player,is_overseas,role,matches,runs,balls_faced,fours,sixes,innings_batted,dismissals,ducks,low_score_le_5,score_25_plus,score_40_plus,score_60_plus,score_80_plus,score_100_plus,balls_bowled,runs_conceded,wickets,dot_balls,maidens,wides,no_balls,bowled_lbw_wickets,wickets_2_plus,wickets_3_plus,wickets_4_plus,wickets_5_plus,wickets_6_plus,catches,stumpings,runouts,two_catch_games
Punjab Kings,Yuzvendra Chahal,False,bowler,13,0,0,0,0,0,0,0,0,0,0,0,0,0,270,430,16,72,0,11,0,2,3,2,2,0,0,2,0,0,0
Punjab Kings,Arshdeep Singh,False,bowler,39,26,36,4,0,12,10,3,10,0,0,0,0,0,875,1302,55,338,1,68,0,10,17,7,1,1,0,8,0,1,0
Punjab Kings,Musheer Khan,False,all_rounder,23,199,149,11,14,19,11,3,7,2,1,0,0,0,129,207,8,43,0,6,3,2,2,0,0,0,0,11,0,1,1
Punjab Kings,Pyala Avinash,False,wicketkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Harnoor Pannu,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Suryansh Shedge,False,all_rounder,3,7,11,0,0,3,3,0,3,0,0,0,0,0,18,40,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Punjab Kings,Mitchell Owen,True,all_rounder,54,1107,580,78,92,52,51,6,11,20,7,3,2,1,376,626,27,118,0,16,1,1,5,3,1,1,0,26,0,3,4
Punjab Kings,Xavier Bartlett,True,bowler,49,345,252,26,20,32,24,4,16,5,2,0,0,0,916,1396,55,329,0,33,1,5,15,5,3,0,0,23,0,0,4
Punjab Kings,Lockie Ferguson,True,bowler,44,104,109,10,1,14,8,1,5,0,0,0,0,0,737,956,43,307,1,47,5,15,12,5,0,0,0,12,0,0,2
Punjab Kings,Vyshak Vijaykumar,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Yash Thakur,False,bowler,2,0,0,0,0,0,0,0,0,0,0,0,0,0,39,79,1,10,0,3,1,0,0,0,0,0,0,0,0,0,0
Punjab Kings,Vishnu Vinod,False,wicketkeeper,9,215,194,18,6,8,7,0,1,4,1,0,0,0,115,164,7,52,1,6,0,0,2,2,1,0,0,10,0,0,2
Gujarat Titans,Jason Holder,True,all_rounder,80,1011,625,56,78,61,41,4,17,15,4,1,0,0,1731,2433,111,614,2,115,10,20,34,10,7,0,0,43,0,5,9
Gujarat Titans,Ashok Sharma,False,bowler,15,250,200,23,10,10,9,1,1,3,2,1,0,0,84,155,4,21,0,9,1,2,2,0,0,0,0,4,0,1,0
Gujarat Titans,Luke Wood,True,bowler,83,183,178,11,6,32,22,6,23,2,1,0,0,0,1617,2252,93,654,1,59,14,22,33,6,0,0,0,28,0,5,4
Gujarat Titans,Prithvi Raj Yarra,False,bowler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat Titans,Tom Banton,True,wicketkeeper,62,1624,1147,163,64,62,52,2,11,27,13,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,5,14
Gujarat Titans,Shubman Gill,False,batter,50,1277,965,124,30,48,39,1,12,22,11,7,3,0,224,234,7,107,1,8,0,3,1,0,0,0,0,19,0,0,3
Gujarat Titans,Sai Sudharsan,False,batter,15,759,486,88,21,15,14,0,2,12,10,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3
Gujarat Titans,Kumar Kushagra,False,wicketkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat Titans,Anuj Rawat,False,wicketkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat Titans,Jos Buttler,True,wicketkeeper,60,1879,1236,180,84,60,54,5,14,30,19,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,10,8,10
Gujarat Titans,Nishant Sindhu,False,all_rounder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat Titans,Washington Sundar,False,all_rounder,13,237,155,18,13,10,9,0,1,4,3,0,0,0,145,221,6,36,0,4,0,2,1,1,0,0,0,7,0,0,1
Gujarat Titans,Arshad Khan,False,all_rounder,9,23,19,0,3,4,2,0,3,0,0,0,0,0,126,217,6,46,0,9,1,0,0,0,0,0,0,4,0,0,1
Gujarat Titans,Shahrukh Khan,False,batter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat Titans,Rahul Tewatia,False,all_rounder,11,99,59,6,7,12,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Gujarat Titans,Kagiso Rabada,True,bowler,33,61,53,6,3,14,8,1,9,0,0,0,0,0,703,1019,34,292,3,40,11,7,11,1,1,0,0,6,0,0,1
